sommet;" ""coord1"" ";" ""coord2"""
0;308;536
1;472;386
2;193;404
3;290;244
4;138;517
5;324;521
6;149;442
7;374;414
8;373;417
9;258;382
10;433;595
11;194;326
12;472;372
13;350;521
14;350;521
15;343;646
16;403;360
17;403;361
18;403;362
19;471;324
20;428;456
21;428;456
22;437;296
23;437;296
24;424;268
25;77;270
26;172;353
27;278;521
28;522;593
29;498;574
30;160;406
31;426;498
32;339;452
33;340;454
34;457;492
35;185;289
36;79;316
37;67;307
38;314;434
39;249;544
40;408;376
41;435;492
42;477;365
43;532;329
44;322;484
45;217;328
46;376;278
47;350;329
48;314;622
49;356;288
50;237;414
51;237;413
52;134;318
53;483;264
54;178;326
55;170;436
56;170;437
57;170;435
58;442;383
59;284;472
60;284;472
61;397;383
62;404;269
63;384;484
64;350;532
65;364;462
66;547;324
67;324;386
68;324;383
69;323;380
70;324;382
71;322;378
72;229;193
73;317;366
74;319;340
75;416;472
76;196;311
77;257;407
78;258;406
79;256;407
80;202;273
81;192;242
82;422;562
83;355;259
84;439;281
85;202;462
86;439;442
87;419;550
88;523;402
89;529;207
90;522;216
91;516;224
92;468;501
93;461;316
94;461;316
95;300;277
96;302;276
97;448;304
98;180;344
99;238;336
100;238;336
101;276;295
102;91;461
103;242;483
104;112;301
105;432;352
106;253;312
107;397;413
108;438;608
109;214;421
110;214;421
111;192;300
112;198;607
113;259;282
114;527;429
115;484;429
116;484;429
117;389;317
118;389;317
119;428;331
120;418;321
121;367;484
122;368;484
123;367;484
124;364;510
125;369;507
126;281;596
127;192;428
128;337;265
129;413;445
130;77;465
131;267;560
132;268;465
133;268;465
134;468;550
135;356;375
136;356;375
137;237;389
138;237;387
139;175;397
140;386;448
141;129;352
142;415;508
143;416;509
144;416;508
145;158;326
146;449;474
147;331;554
148;367;324
149;367;324
150;166;422
151;372;521
152;441;619
153;259;533
154;205;332
155;204;332
156;203;333
157;139;384
158;220;373
159;314;553
160;430;519
161;385;217
162;301;484
163;415;359
164;353;272
165;337;404
166;118;453
167;475;274
168;258;497
169;402;497
170;402;497
171;154;512
172;173;279
173;305;392
174;288;347
175;258;422
176;258;422
177;257;423
178;187;226
179;439;223
180;215;585
181;537;412
182;294;606
183;518;474
184;386;232
185;509;232
186;503;240
187;239;225
188;236;212
189;213;493
190;490;375
191;350;554
192;350;554
193;90;280
194;376;557
195;335;334
196;123;334
197;123;334
198;119;324
199;119;324
200;468;308
201;141;321
202;237;440
203;237;440
204;216;474
205;452;328
206;266;307
207;263;300
208;267;306
209;263;300
210;295;259
211;448;431
212;464;351
213;466;357
214;463;349
215;466;357
216;389;258
217;289;502
218;278;320
219;417;409
220;419;411
221;300;347
222;300;348
223;284;444
224;284;444
225;284;444
226;442;529
227;292;395
228;293;396
229;421;427
230;157;373
231;243;307
232;243;307
233;489;448
234;254;269
235;471;403
236;473;336
237;430;234
238;303;521
239;303;521
240;162;271
241;360;303
242;368;255
243;368;254
244;368;254
245;259;508
246;259;508
247;467;481
248;467;482
249;249;255
250;347;484
251;125;521
252;104;457
253;66;262
254;349;369
255;308;382
256;134;422
257;478;291
258;132;448
259;105;336
260;394;223
261;419;243
262;285;232
263;499;430
264;172;506
265;470;285
266;405;232
267;238;558
268;350;583
269;498;382
270;454;538
271;101;290
272;275;583
273;245;242
274;197;258
275;496;341
276;384;582
277;429;579
278;498;474
279;498;474
280;484;496
281;284;413
282;284;413
283;439;466
284;460;416
285;460;416
286;187;501
287;420;282
288;393;328
289;300;439
290;365;402
291;133;366
292;292;289
293;291;288
294;271;333
295;442;339
296;442;339
297;412;390
298;307;462
299;307;464
300;414;534
301;509;390
302;248;499
303;324;457
304;325;459
305;437;422
306;144;397
307;449;373
308;258;358
309;351;422
310;351;422
311;398;433
312;397;433
313;398;434
314;395;432
315;399;435
316;428;401
317;254;452
318;332;637
319;365;664
320;494;460
321;237;359
322;300;511
323;284;352
324;321;269
325;259;478
326;258;478
327;258;477
328;511;336
329;381;295
330;312;349
331;380;367
332;225;430
333;272;324
334;275;336
335;397;394
336;327;430
337;350;568
338;258;371
339;408;516
340;409;518
341;408;517
342;359;447
343;359;445
344;359;447
345;374;354
346;260;347
347;260;347
348;232;321
349;217;336
350;384;427
351;188;451
352;376;242
353;280;495
354;157;397
355;157;397
356;278;400
357;476;480
358;248;343
359;237;368
360;217;285
361;282;300
362;148;418
363;385;184
364;385;206
365;385;195
366;232;486
367;231;487
368;231;297
369;435;393
370;200;497
371;209;350
372;495;250
373;137;330
374;484;563
375;347;412
