sommet1;sommet2;temps (s)
7;8;120
8;7;120
13;14;120
14;13;120
16;18;120
16;17;120
17;18;120
17;16;120
18;16;120
18;17;120
20;21;120
21;20;120
22;23;120
23;22;120
32;33;120
33;32;120
50;51;120
51;50;120
55;57;120
55;56;120
56;57;120
56;55;120
57;55;120
57;56;120
59;60;120
60;59;120
67;69;120
67;68;120
67;70;120
67;71;120
68;69;120
68;70;120
68;71;120
68;67;120
69;67;120
69;70;120
69;71;120
69;68;120
70;71;120
70;69;120
70;68;120
70;67;120
71;70;120
71;69;120
71;68;120
71;67;120
77;79;120
77;78;120
78;79;120
78;77;120
79;77;120
79;78;120
93;94;120
94;93;120
95;96;120
96;95;120
99;100;120
100;99;120
109;110;120
110;109;120
115;116;120
116;115;120
117;118;120
118;117;120
119;120;120
120;119;120
121;123;120
121;122;120
122;123;120
122;121;120
123;121;120
123;122;120
124;125;120
125;124;120
132;133;120
133;132;120
135;136;120
136;135;120
137;138;120
138;137;120
142;144;120
142;143;120
143;144;120
143;142;120
144;142;120
144;143;120
148;149;120
149;148;120
154;156;120
154;155;120
155;156;120
155;154;120
156;154;120
156;155;120
169;170;120
170;169;120
175;177;120
175;176;120
176;177;120
176;175;120
177;175;120
177;176;120
191;192;120
192;191;120
196;197;120
197;196;120
198;199;120
199;198;120
202;203;120
203;202;120
206;208;120
206;207;120
206;209;120
207;208;120
207;209;120
207;206;120
208;206;120
208;209;120
208;207;120
209;208;120
209;207;120
209;206;120
212;214;120
212;213;120
212;215;120
213;214;120
213;215;120
213;212;120
214;212;120
214;215;120
214;213;120
215;214;120
215;213;120
215;212;120
219;220;120
220;219;120
221;222;120
222;221;120
223;225;120
223;224;120
224;225;120
224;223;120
225;223;120
225;224;120
227;228;120
228;227;120
231;232;120
232;231;120
238;239;120
239;238;120
242;244;120
242;243;120
243;244;120
243;242;120
244;242;120
244;243;120
245;246;120
246;245;120
247;248;120
248;247;120
278;279;120
279;278;120
281;282;120
282;281;120
284;285;120
285;284;120
292;293;120
293;292;120
295;296;120
296;295;120
298;299;120
299;298;120
303;304;120
304;303;120
309;310;120
310;309;120
311;313;120
311;312;120
311;314;120
311;315;120
312;313;120
312;314;120
312;315;120
312;311;120
313;311;120
313;314;120
313;315;120
313;312;120
314;315;120
314;313;120
314;312;120
314;311;120
315;314;120
315;313;120
315;312;120
315;311;120
325;327;120
325;326;120
326;327;120
326;325;120
327;325;120
327;326;120
339;341;120
339;340;120
340;341;120
340;339;120
341;339;120
341;340;120
342;344;120
342;343;120
343;344;120
343;342;120
344;342;120
344;343;120
346;347;120
347;346;120
354;355;120
355;354;120
366;367;120
367;366;120
